County,State,Cases,Deaths,Recovered
Autauga,Alabama,19,1,0
Baldwin,Alabama,66,0,0
Barbour,Alabama,10,0,0
Bibb,Alabama,13,0,0
Blount,Alabama,12,0,0
Bullock,Alabama,4,0,0
Butler,Alabama,6,0,0
Calhoun,Alabama,57,0,0
Chambers,Alabama,184,8,0
Cherokee,Alabama,7,0,0
Chilton,Alabama,30,0,0
Choctaw,Alabama,9,0,0
Clarke,Alabama,15,0,0
Clay,Alabama,12,0,0
Cleburne,Alabama,12,0,0
Coffee,Alabama,20,0,0
Colbert,Alabama,8,1,0
Conecuh,Alabama,3,0,0
Coosa,Alabama,11,0,0
Covington,Alabama,11,0,0
Crenshaw,Alabama,2,0,0
Cullman,Alabama,31,0,0
Dale,Alabama,6,0,0
Dallas,Alabama,10,0,0
DeKalb,Alabama,21,0,0
Elmore,Alabama,30,0,0
Escambia,Alabama,8,0,0
Etowah,Alabama,74,5,0
Fayette,Alabama,3,0,0
Franklin,Alabama,8,0,0
Geneva,Alabama,0,0,0
Greene,Alabama,14,0,0
Hale,Alabama,11,0,0
Henry,Alabama,10,0,0
Houston,Alabama,37,0,0
Jackson,Alabama,22,2,0
Jefferson,Alabama,579,8,0
Lamar,Alabama,7,0,0
Lauderdale,Alabama,21,1,0
Lawrence,Alabama,8,0,0
Lee,Alabama,221,6,0
Limestone,Alabama,36,0,0
Lowndes,Alabama,14,0,0
Macon,Alabama,12,1,0
Madison,Alabama,186,3,0
Marengo,Alabama,19,1,0
Marion,Alabama,42,2,0
Marshall,Alabama,84,1,0
Mobile,Alabama,429,9,0
Monroe,Alabama,6,0,0
Montgomery,Alabama,106,1,0
Morgan,Alabama,37,0,0
Perry,Alabama,4,0,0
Pickens,Alabama,21,0,0
Pike,Alabama,18,0,0
Randolph,Alabama,27,2,0
Russell,Alabama,22,0,0
Shelby,Alabama,196,5,0
St. Clair,Alabama,39,0,0
Sumter,Alabama,19,0,0
Talladega,Alabama,32,0,0
Tallapoosa,Alabama,62,2,0
Tuscaloosa,Alabama,100,0,0
Walker,Alabama,78,0,0
Washington,Alabama,12,1,0
Wilcox,Alabama,25,0,0
Winston,Alabama,4,0,0
Anchorage Municipality,Alaska,121,0,0
Bethel Census Area,Alaska,1,0,0
Fairbanks North Star Borough,Alaska,76,0,0
Juneau City and Borough,Alaska,15,0,0
Kenai Peninsula Borough,Alaska,15,0,0
Ketchikan Gateway Borough,Alaska,14,0,0
Matanuska-Susitna Borough,Alaska,10,0,0
Petersburg Borough,Alaska,2,0,0
Prince of Wales-Hyder Census Area,Alaska,1,0,0
Southeast Fairbanks Census Area,Alaska,1,0,0
Yukon-Koyukuk Census Area,Alaska,1,0,0
Yuma,Arizona,5,0,0
Yavapai,Arizona,12,0,0
Santa Cruz,Arizona,2,0,0
Pinal,Arizona,51,0,0
Pima,Arizona,147,0,0
Navajo,Arizona,60,0,0
Mohave,Arizona,6,0,0
Maricopa,Arizona,546,0,0
La Paz,Arizona,2,0,0
Greenlee,Arizona,0,0,0
Graham,Arizona,2,0,0
Gila,Arizona,1,0,0
Coconino,Arizona,62,0,0
Cochise,Arizona,3,0,0
Apache,Arizona,13,0,0
Missing County Info,Arkansas,19,0,0
Howard,Arkansas,6,0,2
Pulaski,Arkansas,249,9,46
Lonoke,Arkansas,27,0,5
Prairie,Arkansas,2,0,1
Desha,Arkansas,6,0,0
Phillips,Arkansas,3,0,0
Searcy,Arkansas,6,0,1
Independence,Arkansas,5,0,4
Jackson,Arkansas,0,0,0
Mississippi,Arkansas,7,0,4
Greene,Arkansas,6,0,3
Clay,Arkansas,1,0,0
Randolph,Arkansas,8,0,5
Lawrence,Arkansas,10,1,0
Baxter,Arkansas,4,0,0
Marion,Arkansas,1,0,0
Perry,Arkansas,2,0,2
Jefferson,Arkansas,91,2,16
Washington,Arkansas,37,0,19
Crawford,Arkansas,3,0,1
Little River,Arkansas,0,0,0
Miller,Arkansas,22,0,3
Lafayette,Arkansas,2,0,1
Columbia,Arkansas,3,0,1
Union,Arkansas,18,0,4
Ashley,Arkansas,10,0,0
Chicot,Arkansas,5,0,0
Benton,Arkansas,47,0,27
Carroll,Arkansas,2,0,0
Madison,Arkansas,1,0,0
Sebastian,Arkansas,10,0,5
Polk,Arkansas,6,0,3
Sevier,Arkansas,6,0,4
Garland,Arkansas,72,0,22
Saline,Arkansas,32,1,10
Franklin,Arkansas,1,0,0
Scott,Arkansas,1,0,0
Logan,Arkansas,2,0,0
Yell,Arkansas,1,0,0
Montgomery,Arkansas,0,0,0
Pike,Arkansas,2,0,1
Hempstead,Arkansas,4,1,2
Drew,Arkansas,6,1,1
Bradley,Arkansas,6,0,0
Calhoun,Arkansas,0,0,0
Ouachita,Arkansas,5,0,3
Nevada,Arkansas,1,0,1
Clark,Arkansas,27,0,12
Dallas,Arkansas,1,0,1
Cleveland,Arkansas,8,0,4
Lincoln,Arkansas,10,0,3
Arkansas,Arkansas,2,0,0
Grant,Arkansas,9,0,4
Monroe,Arkansas,1,0,0
Lee,Arkansas,2,0,0
Hot Spring,Arkansas,8,0,0
St. Francis,Arkansas,31,0,1
Crittenden,Arkansas,89,2,11
Cross,Arkansas,6,0,2
Woodruff,Arkansas,1,0,0
White,Arkansas,28,0,11
